,time_period,cpu,rss,memory
0,1,21.42,1183268.0,14.56
1,2,16.53,1230440.0,15.14
2,3,12.36,1231856.0,15.16
3,4,11.5,1238176.0,15.24
4,5,12.32,1241764.0,15.28
5,6,10.94,1244464.0,15.31
6,7,9.71,1245788.0,15.33
7,8,8.73,1248400.0,15.36
8,9,8.89,1251016.0,15.4
9,10,9.35,1252468.0,15.41
10,11,11.44,1252272.0,15.41
11,12,7.47,1253980.0,15.43
12,13,6.39,1253196.0,15.42
13,14,5.63,1253928.0,15.43
14,15,6.53,1252092.0,15.41
15,16,8.5,1256024.0,15.46
16,17,9.12,1251008.0,15.4
17,18,5.72,1247776.0,15.36
18,19,7.41,1249180.0,15.37
19,20,11.28,1252896.0,15.42
20,21,6.38,1250824.0,15.39
21,22,5.71,1252180.0,15.41
22,23,5.23,1250320.0,15.39
23,24,6.72,1251048.0,15.4
24,25,6.47,1251408.0,15.4
25,26,5.24,1252828.0,15.42
26,27,5.53,1250924.0,15.39
27,28,4.76,1252656.0,15.42
28,29,4.78,1253360.0,15.42
29,30,5.84,1255232.0,15.45
30,31,7.41,1265340.0,15.57
31,32,6.33,1269228.0,15.62
32,33,5.43,1275284.0,15.69
33,34,5.84,1279680.0,15.75
34,35,5.69,1279880.0,15.75
35,36,4.6,1278456.0,15.73
36,37,5.29,1279104.0,15.74
37,38,6.09,1276240.0,15.71
38,39,6.24,1280992.0,15.76
39,40,6.03,1278616.0,15.73
40,41,9.32,1281960.0,15.78
41,42,6.21,1281936.0,15.78
42,43,7.96,1283804.0,15.8
43,44,4.78,1283340.0,15.79
44,45,5.55,1285332.0,15.82
45,46,4.78,1285044.0,15.81
46,47,4.66,1284228.0,15.8
47,48,6.96,1285772.0,15.82
48,49,5.11,1283636.0,15.8
49,50,7.98,1281932.0,15.78
50,51,6.48,1283524.0,15.8
51,52,6.2,1284088.0,15.8
52,53,4.8,1285964.0,15.83
53,54,7.07,1287608.0,15.85
54,55,4.61,1286468.0,15.83
55,56,6.24,1284936.0,15.81
56,57,4.7,1287272.0,15.84
57,58,5.91,1285484.0,15.82
