,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
0,1,4.0,2.0,5.0,2.0,8.0,12.0,9.0,58.0,10.0,13.0,11.0,11.0,0.509090909090909,0.8363636363636363,2
1,2,7.0,3.0,1.0,4.0,7.0,11.0,10.0,55.0,8.0,11.0,8.0,13.0,0.509090909090909,0.709090909090909,2
2,3,3.0,3.0,1.0,4.0,4.0,8.0,8.0,42.0,4.0,10.0,23.0,11.0,0.509090909090909,1.0545454545454545,1
3,4,4.0,4.0,3.0,9.0,8.0,12.0,7.0,56.0,5.0,12.0,11.0,10.0,0.509090909090909,1.0363636363636362,2
4,5,2.0,4.0,6.0,8.0,9.0,9.0,6.0,49.0,7.0,6.0,15.0,14.0,0.509090909090909,0.7454545454545454,2
5,6,3.0,7.0,2.0,2.0,9.0,11.0,7.0,60.0,6.0,14.0,12.0,9.0,0.509090909090909,1.1818181818181817,2
6,7,4.0,6.0,3.0,7.0,11.0,8.0,6.0,50.0,8.0,9.0,13.0,12.0,0.509090909090909,1.2363636363636363,2
7,8,6.0,3.0,10.0,5.0,9.0,13.0,8.0,47.0,6.0,6.0,12.0,12.0,0.509090909090909,0.7999999999999999,2
8,9,6.0,5.0,8.0,5.0,8.0,11.0,7.0,50.0,9.0,8.0,7.0,17.0,0.509090909090909,0.7636363636363636,2
9,10,7.0,0.0,8.0,3.0,6.0,8.0,11.0,46.0,6.0,12.0,17.0,8.0,0.509090909090909,1.2727272727272727,1
10,11,5.0,4.0,3.0,4.0,8.0,12.0,10.0,44.0,3.0,10.0,11.0,14.0,0.509090909090909,1.509090909090909,2
11,12,8.0,2.0,8.0,7.0,9.0,16.0,2.0,54.0,5.0,8.0,9.0,11.0,0.509090909090909,0.9090909090909091,2
12,13,5.0,1.0,4.0,5.0,8.0,14.0,3.0,56.0,6.0,12.0,15.0,12.0,0.509090909090909,1.1272727272727272,2
13,14,5.0,2.0,1.0,5.0,14.0,19.0,2.0,58.0,3.0,13.0,18.0,11.0,0.509090909090909,1.1636363636363636,2
14,15,5.0,4.0,5.0,12.0,7.0,7.0,8.0,52.0,10.0,11.0,10.0,8.0,0.509090909090909,0.9636363636363636,2
15,16,5.0,5.0,1.0,9.0,10.0,8.0,6.0,52.0,7.0,8.0,14.0,13.0,0.509090909090909,0.6363636363636362,2
16,17,8.0,3.0,8.0,2.0,8.0,12.0,7.0,46.0,5.0,9.0,10.0,10.0,0.509090909090909,1.109090909090909,2
17,18,4.0,4.0,7.0,5.0,10.0,8.0,4.0,49.0,4.0,11.0,14.0,16.0,0.509090909090909,1.2545454545454544,2
18,19,9.0,3.0,8.0,12.0,7.0,7.0,2.0,50.0,6.0,12.0,7.0,12.0,0.509090909090909,1.4,2
19,20,5.0,3.0,2.0,4.0,7.0,9.0,12.0,48.0,6.0,14.0,18.0,11.0,0.509090909090909,0.5818181818181818,1
20,21,6.0,6.0,4.0,5.0,6.0,11.0,5.0,51.0,7.0,6.0,13.0,9.0,0.509090909090909,1.0727272727272728,2
21,22,5.0,2.0,12.0,3.0,5.0,8.0,6.0,43.0,4.0,4.0,14.0,16.0,0.509090909090909,1.4545454545454546,2
22,23,5.0,0.0,6.0,6.0,6.0,15.0,6.0,45.0,5.0,11.0,10.0,21.0,0.509090909090909,0.9272727272727272,2
23,24,9.0,5.0,5.0,5.0,4.0,10.0,6.0,51.0,6.0,13.0,14.0,9.0,0.509090909090909,1.3818181818181818,2
24,25,5.0,3.0,3.0,3.0,7.0,16.0,5.0,64.0,2.0,17.0,11.0,9.0,0.509090909090909,0.5272727272727272,2
25,26,4.0,3.0,5.0,5.0,11.0,7.0,6.0,53.0,5.0,13.0,12.0,12.0,0.509090909090909,0.6,2
26,27,8.0,2.0,1.0,6.0,14.0,15.0,9.0,55.0,4.0,8.0,9.0,10.0,0.509090909090909,0.6545454545454545,2
