time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,cpulimit,memorylimit
1,7.0,11.0,6.0,5.0,4.0,10.0,10.0,58.0,14.0,15.0,10.0,4.0,2.5,6
2,7.0,5.0,8.0,3.0,7.0,4.0,4.0,47.0,19.0,4.0,11.0,14.0,2.5,6
3,10.0,11.0,7.0,6.0,8.0,5.0,10.0,50.0,13.0,8.0,10.0,5.0,2.5,6
4,7.0,5.0,7.0,8.0,4.0,9.0,6.0,53.0,23.0,6.0,6.0,11.0,2.5,6
5,6.0,11.0,3.0,7.0,8.0,5.0,6.0,57.0,14.0,7.0,12.0,3.0,2.5,6
6,13.0,8.0,7.0,6.0,8.0,7.0,5.0,60.0,15.0,14.0,0.0,9.0,2.5,6
7,11.0,2.0,7.0,7.0,10.0,6.0,9.0,51.0,23.0,8.0,8.0,7.0,2.5,6
8,6.0,12.0,11.0,13.0,7.0,5.0,8.0,55.0,15.0,5.0,1.0,6.0,2.5,6
9,5.0,9.0,3.0,8.0,11.0,12.0,8.0,57.0,11.0,7.0,3.0,7.0,2.5,6
10,9.0,10.0,6.0,7.0,4.0,8.0,8.0,52.0,17.0,8.0,11.0,6.0,2.5,6
11,6.0,10.0,11.0,9.0,5.0,5.0,11.0,45.0,13.0,7.0,10.0,8.0,2.5,6
12,6.0,7.0,11.0,7.0,4.0,8.0,9.0,55.0,14.0,11.0,6.0,6.0,2.5,6
13,12.0,8.0,5.0,10.0,5.0,7.0,7.0,45.0,14.0,5.0,4.0,7.0,2.5,6
14,4.0,10.0,11.0,15.0,8.0,8.0,6.0,47.0,14.0,3.0,10.0,7.0,2.5,6
15,9.0,7.0,12.0,8.0,7.0,5.0,3.0,53.0,23.0,6.0,9.0,6.0,2.5,6
16,7.0,9.0,6.0,13.0,4.0,9.0,5.0,53.0,11.0,8.0,6.0,10.0,2.5,6
17,6.0,9.0,8.0,7.0,9.0,11.0,4.0,50.0,13.0,4.0,5.0,10.0,2.5,6
18,4.0,7.0,6.0,12.0,8.0,5.0,8.0,53.0,10.0,12.0,9.0,8.0,2.5,6
19,5.0,11.0,6.0,9.0,12.0,5.0,10.0,54.0,13.0,6.0,9.0,7.0,2.5,6
20,9.0,13.0,4.0,8.0,6.0,6.0,4.0,67.0,19.0,16.0,2.0,6.0,2.5,6
21,8.0,4.0,11.0,11.0,4.0,8.0,5.0,38.0,8.0,8.0,9.0,12.0,2.5,6
22,9.0,6.0,9.0,10.0,8.0,4.0,2.0,53.0,13.0,9.0,6.0,7.0,2.5,6
23,10.0,8.0,6.0,9.0,7.0,12.0,5.0,56.0,15.0,10.0,6.0,8.0,2.5,6
24,10.0,5.0,7.0,10.0,7.0,7.0,9.0,47.0,17.0,7.0,6.0,8.0,2.5,6
25,6.0,7.0,12.0,16.0,7.0,8.0,8.0,48.0,13.0,6.0,6.0,4.0,2.5,6
26,9.0,7.0,7.0,8.0,11.0,7.0,7.0,59.0,20.0,4.0,5.0,5.0,2.5,6
27,9.0,7.0,8.0,8.0,8.0,6.0,8.0,48.0,20.0,4.0,3.0,6.0,2.5,6
28,8.0,7.0,9.0,6.0,6.0,8.0,11.0,48.0,11.0,6.0,11.0,7.0,2.5,6
29,3.0,9.0,9.0,10.0,10.0,6.0,9.0,54.0,12.0,15.0,9.0,6.0,2.5,6
30,6.0,11.0,6.0,8.0,5.0,8.0,6.0,50.0,13.0,5.0,11.0,6.0,2.5,6
31,7.0,12.0,7.0,8.0,7.0,7.0,6.0,49.0,10.0,10.0,9.0,13.0,2.5,6
32,3.0,8.0,7.0,9.0,8.0,10.0,11.0,49.0,14.0,4.0,8.0,12.0,2.5,6
33,12.0,5.0,5.0,8.0,7.0,5.0,7.0,46.0,14.0,4.0,10.0,11.0,2.5,6
