,Unnamed: 0,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,cpulimit,memorylimit
0,0.0,1.0,7.0,11.0,6.0,5.0,4.0,10.0,10.0,58.0,14.0,15.0,10.0,4.0,2.5,6
1,1.0,2.0,7.0,5.0,8.0,3.0,7.0,4.0,4.0,47.0,19.0,4.0,11.0,14.0,2.5,6
2,2.0,3.0,10.0,11.0,7.0,6.0,8.0,5.0,10.0,50.0,13.0,8.0,10.0,5.0,2.5,6
3,3.0,4.0,7.0,5.0,7.0,8.0,4.0,9.0,6.0,53.0,23.0,6.0,6.0,11.0,2.5,6
4,4.0,5.0,6.0,11.0,3.0,7.0,8.0,5.0,6.0,57.0,14.0,7.0,12.0,3.0,2.5,6
5,5.0,6.0,13.0,8.0,7.0,6.0,8.0,7.0,5.0,60.0,15.0,14.0,0.0,9.0,2.5,6
6,6.0,7.0,11.0,2.0,7.0,7.0,10.0,6.0,9.0,51.0,23.0,8.0,8.0,7.0,2.5,6
7,7.0,8.0,6.0,12.0,11.0,13.0,7.0,5.0,8.0,55.0,15.0,5.0,1.0,6.0,2.5,6
8,8.0,9.0,5.0,9.0,3.0,8.0,11.0,12.0,8.0,57.0,11.0,7.0,3.0,7.0,2.5,6
9,9.0,10.0,9.0,10.0,6.0,7.0,4.0,8.0,8.0,52.0,17.0,8.0,11.0,6.0,2.5,6
10,10.0,11.0,6.0,10.0,11.0,9.0,5.0,5.0,11.0,45.0,13.0,7.0,10.0,8.0,2.5,6
11,11.0,12.0,6.0,7.0,11.0,7.0,4.0,8.0,9.0,55.0,14.0,11.0,6.0,6.0,2.5,6
12,12.0,13.0,12.0,8.0,5.0,10.0,5.0,7.0,7.0,45.0,14.0,5.0,4.0,7.0,2.5,6
13,13.0,14.0,4.0,10.0,11.0,15.0,8.0,8.0,6.0,47.0,14.0,3.0,10.0,7.0,2.5,6
14,14.0,15.0,9.0,7.0,12.0,8.0,7.0,5.0,3.0,53.0,23.0,6.0,9.0,6.0,2.5,6
15,15.0,16.0,7.0,9.0,6.0,13.0,4.0,9.0,5.0,53.0,11.0,8.0,6.0,10.0,2.5,6
16,16.0,17.0,6.0,9.0,8.0,7.0,9.0,11.0,4.0,50.0,13.0,4.0,5.0,10.0,2.5,6
17,17.0,18.0,4.0,7.0,6.0,12.0,8.0,5.0,8.0,53.0,10.0,12.0,9.0,8.0,2.5,6
18,18.0,19.0,5.0,11.0,6.0,9.0,12.0,5.0,10.0,54.0,13.0,6.0,9.0,7.0,2.5,6
19,19.0,20.0,9.0,13.0,4.0,8.0,6.0,6.0,4.0,67.0,19.0,16.0,2.0,6.0,2.5,6
20,20.0,21.0,8.0,4.0,11.0,11.0,4.0,8.0,5.0,38.0,8.0,8.0,9.0,12.0,2.5,6
21,21.0,22.0,9.0,6.0,9.0,10.0,8.0,4.0,2.0,53.0,13.0,9.0,6.0,7.0,2.5,6
22,22.0,23.0,10.0,8.0,6.0,9.0,7.0,12.0,5.0,56.0,15.0,10.0,6.0,8.0,2.5,6
23,23.0,24.0,10.0,5.0,7.0,10.0,7.0,7.0,9.0,47.0,17.0,7.0,6.0,8.0,2.5,6
24,24.0,25.0,6.0,7.0,12.0,16.0,7.0,8.0,8.0,48.0,13.0,6.0,6.0,4.0,2.5,6
25,25.0,26.0,9.0,7.0,7.0,8.0,11.0,7.0,7.0,59.0,20.0,4.0,5.0,5.0,2.5,6
26,26.0,27.0,9.0,7.0,8.0,8.0,8.0,6.0,8.0,48.0,20.0,4.0,3.0,6.0,2.5,6
27,27.0,28.0,8.0,7.0,9.0,6.0,6.0,8.0,11.0,48.0,11.0,6.0,11.0,7.0,2.5,6
28,28.0,29.0,3.0,9.0,9.0,10.0,10.0,6.0,9.0,54.0,12.0,15.0,9.0,6.0,2.5,6
29,29.0,30.0,6.0,11.0,6.0,8.0,5.0,8.0,6.0,50.0,13.0,5.0,11.0,6.0,2.5,6
30,30.0,31.0,7.0,12.0,7.0,8.0,7.0,7.0,6.0,49.0,10.0,10.0,9.0,13.0,2.5,6
31,31.0,32.0,3.0,8.0,7.0,9.0,8.0,10.0,11.0,49.0,14.0,4.0,8.0,12.0,2.5,6
32,32.0,33.0,12.0,5.0,5.0,8.0,7.0,5.0,7.0,46.0,14.0,4.0,10.0,11.0,2.5,6
33,33.0,34.0,8.0,5.0,9.0,8.0,9.0,9.0,8.0,54.0,10.0,13.0,4.0,9.0,2.5,6
34,34.0,35.0,7.0,8.0,6.0,11.0,6.0,3.0,7.0,48.0,13.0,10.0,4.0,9.0,2.5,6
35,35.0,36.0,4.0,10.0,8.0,6.0,10.0,6.0,6.0,62.0,20.0,11.0,6.0,8.0,2.5,6
36,36.0,37.0,8.0,7.0,4.0,6.0,9.0,6.0,8.0,56.0,16.0,8.0,9.0,9.0,2.5,6
37,37.0,38.0,10.0,4.0,5.0,5.0,10.0,9.0,7.0,59.0,20.0,7.0,4.0,6.0,2.5,6
38,38.0,39.0,7.0,5.0,12.0,9.0,12.0,5.0,9.0,39.0,11.0,4.0,9.0,10.0,2.5,6
39,39.0,40.0,9.0,8.0,5.0,5.0,3.0,7.0,5.0,62.0,21.0,16.0,5.0,8.0,2.5,6
40,40.0,41.0,10.0,9.0,5.0,4.0,6.0,4.0,9.0,54.0,17.0,11.0,11.0,7.0,2.5,6
41,41.0,42.0,13.0,9.0,6.0,6.0,5.0,10.0,9.0,48.0,11.0,7.0,8.0,10.0,2.5,6
42,42.0,43.0,12.0,5.0,6.0,9.0,7.0,6.0,11.0,39.0,9.0,6.0,8.0,7.0,2.5,6
43,43.0,44.0,12.0,5.0,11.0,7.0,6.0,7.0,8.0,48.0,18.0,4.0,5.0,7.0,2.5,6
44,44.0,45.0,11.0,6.0,10.0,8.0,9.0,2.0,8.0,51.0,12.0,14.0,8.0,4.0,2.5,6
45,45.0,46.0,11.0,5.0,7.0,11.0,9.0,10.0,2.0,48.0,12.0,5.0,10.0,11.0,2.5,6
46,46.0,47.0,5.0,6.0,9.0,10.0,12.0,11.0,6.0,49.0,9.0,7.0,11.0,2.0,2.5,6
47,47.0,48.0,14.0,5.0,2.0,6.0,1.0,11.0,12.0,48.0,14.0,6.0,6.0,10.0,2.5,6
48,48.0,49.0,7.0,5.0,6.0,6.0,11.0,7.0,8.0,54.0,18.0,7.0,12.0,7.0,2.5,6
49,49.0,50.0,10.0,7.0,3.0,7.0,11.0,10.0,8.0,52.0,10.0,7.0,8.0,11.0,2.5,6
50,50.0,51.0,9.0,9.0,6.0,8.0,10.0,9.0,4.0,54.0,12.0,8.0,7.0,11.0,2.5,6
51,51.0,52.0,7.0,5.0,7.0,7.0,5.0,10.0,8.0,52.0,18.0,7.0,6.0,7.0,2.5,6
52,52.0,53.0,8.0,8.0,5.0,9.0,6.0,11.0,6.0,59.0,18.0,9.0,9.0,3.0,2.5,6
53,53.0,54.0,10.0,7.0,2.0,7.0,11.0,11.0,7.0,58.0,13.0,5.0,5.0,10.0,2.5,6
54,54.0,55.0,8.0,7.0,9.0,8.0,8.0,8.0,4.0,53.0,12.0,9.0,5.0,6.0,2.5,6
55,55.0,1.0,11.0,2.0,9.0,1.0,10.0,4.0,10.0,56.0,19.0,14.0,5.0,7.0,2.5,6
56,56.0,2.0,9.0,8.0,9.0,3.0,12.0,7.0,9.0,52.0,15.0,7.0,6.0,12.0,2.5,6
57,57.0,3.0,11.0,6.0,9.0,5.0,5.0,4.0,6.0,53.0,19.0,11.0,3.0,5.0,2.5,6
58,58.0,4.0,9.0,3.0,9.0,5.0,12.0,4.0,13.0,51.0,18.0,10.0,5.0,6.0,2.5,6
59,59.0,5.0,9.0,5.0,8.0,4.0,10.0,5.0,8.0,58.0,16.0,12.0,4.0,9.0,2.5,6
60,60.0,6.0,6.0,3.0,11.0,0.0,11.0,3.0,5.0,57.0,28.0,9.0,2.0,11.0,2.5,6
61,61.0,7.0,14.0,1.0,11.0,2.0,8.0,4.0,11.0,48.0,17.0,9.0,6.0,8.0,2.5,6
62,62.0,8.0,14.0,4.0,10.0,1.0,12.0,6.0,8.0,55.0,23.0,9.0,6.0,6.0,2.5,6
63,63.0,9.0,4.0,2.0,14.0,4.0,8.0,10.0,12.0,50.0,15.0,7.0,4.0,11.0,2.5,6
64,64.0,10.0,12.0,3.0,11.0,4.0,4.0,3.0,11.0,46.0,21.0,11.0,4.0,3.0,2.5,6
65,65.0,11.0,4.0,8.0,9.0,1.0,10.0,8.0,10.0,66.0,24.0,11.0,7.0,3.0,2.5,6
66,66.0,12.0,16.0,8.0,5.0,2.0,10.0,6.0,9.0,60.0,25.0,4.0,4.0,4.0,2.5,6
67,67.0,13.0,8.0,4.0,12.0,3.0,7.0,5.0,9.0,51.0,17.0,11.0,7.0,8.0,2.5,6
68,68.0,14.0,9.0,6.0,7.0,3.0,7.0,6.0,7.0,52.0,17.0,11.0,7.0,7.0,2.5,6
69,69.0,15.0,16.0,3.0,10.0,4.0,11.0,5.0,10.0,50.0,19.0,9.0,1.0,9.0,2.5,6
70,70.0,16.0,8.0,2.0,13.0,5.0,1.0,11.0,10.0,47.0,18.0,15.0,6.0,4.0,2.5,6
71,71.0,17.0,12.0,1.0,10.0,1.0,7.0,7.0,8.0,61.0,21.0,16.0,1.0,6.0,2.5,6
72,72.0,18.0,8.0,4.0,12.0,4.0,9.0,5.0,13.0,53.0,23.0,6.0,4.0,4.0,2.5,6
73,73.0,19.0,11.0,6.0,10.0,4.0,6.0,6.0,15.0,53.0,19.0,9.0,2.0,4.0,2.5,6
74,74.0,20.0,6.0,5.0,9.0,0.0,9.0,7.0,5.0,61.0,22.0,8.0,2.0,10.0,2.5,6
75,75.0,21.0,6.0,6.0,9.0,5.0,11.0,3.0,8.0,58.0,20.0,15.0,5.0,9.0,2.5,6
