,time_period,cpu,rss,memory
0,1,19.01,1232204.0,15.16
1,2,18.63,1295764.0,15.95
2,3,16.64,1313848.0,16.17
3,4,11.28,1316636.0,16.2
4,5,11.47,1327948.0,16.34
5,6,11.36,1330200.0,16.37
6,7,11.97,1330848.0,16.38
7,8,8.03,1336312.0,16.44
8,9,8.21,1336096.0,16.44
9,10,7.33,1335268.0,16.43
10,11,9.75,1336572.0,16.45
11,12,7.84,1338616.0,16.47
12,13,6.0,1336684.0,16.45
13,14,8.53,1339080.0,16.48
14,15,6.5,1341336.0,16.51
15,16,6.87,1339788.0,16.49
16,17,7.83,1341468.0,16.51
17,18,7.49,1340940.0,16.5
18,19,5.86,1340436.0,16.5
19,20,5.45,1340224.0,16.49
20,21,7.63,1344420.0,16.54
21,22,9.24,1345332.0,16.56
22,23,5.84,1345008.0,16.55
23,24,4.88,1346572.0,16.57
24,25,5.95,1344756.0,16.55
25,26,5.03,1347096.0,16.58
26,27,5.7,1346720.0,16.57
27,28,4.68,1348336.0,16.59
28,29,4.36,1347784.0,16.59
29,30,7.17,1347640.0,16.58
30,31,5.88,1350388.0,16.62
31,32,5.26,1349032.0,16.6
32,33,6.2,1349696.0,16.61
33,34,7.01,1351296.0,16.63
34,35,7.46,1353140.0,16.65
35,36,5.4,1353952.0,16.66
36,37,5.36,1351812.0,16.64
37,38,6.05,1352960.0,16.65
38,39,7.33,1355028.0,16.68
39,40,7.73,1354216.0,16.67
40,41,4.86,1355056.0,16.68
41,42,7.15,1359192.0,16.73
42,43,5.59,1356024.0,16.69
43,44,5.47,1357152.0,16.7
44,45,5.19,1357336.0,16.7
45,46,6.41,1359388.0,16.73
46,47,4.89,1359300.0,16.73
47,48,4.76,1359928.0,16.74
48,49,4.78,1357692.0,16.71
49,50,5.63,1361836.0,16.76
50,51,5.62,1359580.0,16.73
51,52,6.11,1362840.0,16.77
52,53,5.03,1360276.0,16.74
53,54,4.68,1362780.0,16.77
54,55,5.83,1360144.0,16.74
55,56,5.09,1363248.0,16.78
56,57,4.51,1361220.0,16.75
57,58,6.13,1362608.0,16.77
