,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
0,1,8.0,9.0,4.0,8.0,11.0,9.0,5.0,57.0,18.0,8.0,6.0,10.0,0,0.18181818181818182,1
1,2,6.0,4.0,10.0,10.0,7.0,9.0,8.0,48.0,17.0,8.0,9.0,8.0,0,0.14545454545454545,1
2,3,6.0,9.0,6.0,8.0,10.0,5.0,7.0,51.0,15.0,4.0,6.0,9.0,0,0.2545454545454545,1
3,4,6.0,4.0,8.0,6.0,8.0,4.0,3.0,58.0,21.0,13.0,9.0,10.0,0,0.3090909090909091,1
4,5,9.0,9.0,8.0,7.0,5.0,3.0,5.0,50.0,15.0,10.0,7.0,9.0,0,0.2727272727272727,1
5,6,12.0,9.0,5.0,4.0,9.0,10.0,6.0,56.0,13.0,7.0,4.0,8.0,0,0.6181818181818182,1
6,7,12.0,4.0,9.0,9.0,6.0,5.0,8.0,45.0,15.0,9.0,7.0,10.0,0,0.43636363636363634,1
7,8,7.0,9.0,3.0,7.0,9.0,8.0,6.0,57.0,9.0,8.0,7.0,10.0,0,0.4909090909090909,1
8,9,7.0,6.0,6.0,4.0,8.0,9.0,9.0,57.0,21.0,5.0,4.0,7.0,0,0.8727272727272727,1
9,10,2.0,7.0,10.0,9.0,6.0,11.0,9.0,50.0,14.0,8.0,8.0,11.0,0,0.9272727272727272,1
10,11,8.0,12.0,8.0,8.0,8.0,9.0,6.0,58.0,14.0,6.0,9.0,0.0,0,0.38181818181818183,1
11,12,9.0,6.0,5.0,5.0,7.0,10.0,13.0,53.0,16.0,5.0,8.0,5.0,0,0.6545454545454545,1
12,13,7.0,6.0,5.0,6.0,3.0,9.0,9.0,56.0,21.0,10.0,7.0,5.0,0,0.9454545454545454,1
13,14,9.0,9.0,11.0,11.0,7.0,7.0,8.0,48.0,15.0,1.0,4.0,9.0,0,0.8545454545454545,1
14,15,8.0,8.0,11.0,8.0,9.0,5.0,9.0,46.0,12.0,6.0,11.0,7.0,0,0.7454545454545455,1
15,16,6.0,6.0,6.0,6.0,5.0,9.0,6.0,58.0,16.0,9.0,4.0,10.0,0,0.7818181818181819,1
16,17,4.0,10.0,6.0,5.0,13.0,7.0,6.0,58.0,19.0,6.0,11.0,5.0,0,0.9818181818181818,1
17,18,6.0,9.0,9.0,12.0,6.0,6.0,9.0,46.0,12.0,8.0,8.0,9.0,0,0.6727272727272727,1
18,19,8.0,7.0,10.0,3.0,5.0,5.0,6.0,53.0,17.0,11.0,9.0,11.0,0,0.16363636363636364,1
19,20,7.0,10.0,7.0,9.0,5.0,6.0,4.0,61.0,19.0,10.0,7.0,5.0,0,0.8363636363636363,1
20,21,5.0,5.0,6.0,4.0,12.0,4.0,9.0,56.0,17.0,10.0,5.0,8.0,0,0.23636363636363636,1
21,22,4.0,5.0,6.0,15.0,11.0,5.0,5.0,50.0,14.0,8.0,8.0,9.0,0,0.21818181818181817,1
22,23,6.0,12.0,10.0,8.0,7.0,8.0,10.0,52.0,13.0,7.0,7.0,7.0,0,0.6363636363636364,1
23,24,7.0,16.0,5.0,8.0,6.0,5.0,9.0,56.0,13.0,8.0,8.0,7.0,0,0.5818181818181818,1
24,25,8.0,8.0,5.0,12.0,9.0,3.0,8.0,42.0,10.0,4.0,4.0,13.0,0,0.4,2
25,26,5.0,11.0,7.0,8.0,7.0,12.0,11.0,53.0,13.0,5.0,7.0,7.0,0,0.8181818181818182,1
26,27,8.0,12.0,11.0,14.0,8.0,4.0,2.0,48.0,8.0,11.0,11.0,6.0,0,0.9636363636363636,2
27,28,10.0,6.0,7.0,5.0,4.0,19.0,2.0,58.0,16.0,9.0,7.0,4.0,0,0.34545454545454546,1
28,29,8.0,12.0,4.0,7.0,4.0,8.0,9.0,53.0,14.0,7.0,8.0,9.0,0,0.5636363636363636,1
29,30,10.0,9.0,10.0,5.0,7.0,6.0,9.0,53.0,13.0,11.0,5.0,7.0,0,0.5454545454545454,1
