time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,cpulimit,memorylimit
1,8.0,9.0,4.0,8.0,11.0,9.0,5.0,57.0,18.0,8.0,6.0,10.0,2.0,6
2,6.0,4.0,10.0,10.0,7.0,9.0,8.0,48.0,17.0,8.0,9.0,8.0,2.0,6
3,6.0,9.0,6.0,8.0,10.0,5.0,7.0,51.0,15.0,4.0,6.0,9.0,2.0,6
4,6.0,4.0,8.0,6.0,8.0,4.0,3.0,58.0,21.0,13.0,9.0,10.0,2.0,6
5,9.0,9.0,8.0,7.0,5.0,3.0,5.0,50.0,15.0,10.0,7.0,9.0,2.0,6
6,12.0,9.0,5.0,4.0,9.0,10.0,6.0,56.0,13.0,7.0,4.0,8.0,2.0,6
7,12.0,4.0,9.0,9.0,6.0,5.0,8.0,45.0,15.0,9.0,7.0,10.0,2.0,6
8,7.0,9.0,3.0,7.0,9.0,8.0,6.0,57.0,9.0,8.0,7.0,10.0,2.0,6
9,7.0,6.0,6.0,4.0,8.0,9.0,9.0,57.0,21.0,5.0,4.0,7.0,2.0,6
10,2.0,7.0,10.0,9.0,6.0,11.0,9.0,50.0,14.0,8.0,8.0,11.0,2.0,6
11,8.0,12.0,8.0,8.0,8.0,9.0,6.0,58.0,14.0,6.0,9.0,0.0,2.0,6
12,9.0,6.0,5.0,5.0,7.0,10.0,13.0,53.0,16.0,5.0,8.0,5.0,2.0,6
13,7.0,6.0,5.0,6.0,3.0,9.0,9.0,56.0,21.0,10.0,7.0,5.0,2.0,6
14,9.0,9.0,11.0,11.0,7.0,7.0,8.0,48.0,15.0,1.0,4.0,9.0,2.0,6
15,8.0,8.0,11.0,8.0,9.0,5.0,9.0,46.0,12.0,6.0,11.0,7.0,2.0,6
16,6.0,6.0,6.0,6.0,5.0,9.0,6.0,58.0,16.0,9.0,4.0,10.0,2.0,6
17,4.0,10.0,6.0,5.0,13.0,7.0,6.0,58.0,19.0,6.0,11.0,5.0,2.0,6
18,6.0,9.0,9.0,12.0,6.0,6.0,9.0,46.0,12.0,8.0,8.0,9.0,2.0,6
19,8.0,7.0,10.0,3.0,5.0,5.0,6.0,53.0,17.0,11.0,9.0,11.0,2.0,6
20,7.0,10.0,7.0,9.0,5.0,6.0,4.0,61.0,19.0,10.0,7.0,5.0,2.0,6
21,5.0,5.0,6.0,4.0,12.0,4.0,9.0,56.0,17.0,10.0,5.0,8.0,2.0,6
22,4.0,5.0,6.0,15.0,11.0,5.0,5.0,50.0,14.0,8.0,8.0,9.0,2.0,6
23,6.0,12.0,10.0,8.0,7.0,8.0,10.0,52.0,13.0,7.0,7.0,7.0,2.0,6
24,7.0,16.0,5.0,8.0,6.0,5.0,9.0,56.0,13.0,8.0,8.0,7.0,2.0,6
25,8.0,8.0,5.0,12.0,9.0,3.0,8.0,42.0,10.0,4.0,4.0,13.0,2.0,6
26,5.0,11.0,7.0,8.0,7.0,12.0,11.0,53.0,13.0,5.0,7.0,7.0,2.0,6
27,8.0,12.0,11.0,14.0,8.0,4.0,2.0,48.0,8.0,11.0,11.0,6.0,2.0,6
28,10.0,6.0,7.0,5.0,4.0,19.0,2.0,58.0,16.0,9.0,7.0,4.0,2.0,6
29,8.0,12.0,4.0,7.0,4.0,8.0,9.0,53.0,14.0,7.0,8.0,9.0,2.0,6
30,10.0,9.0,10.0,5.0,7.0,6.0,9.0,53.0,13.0,11.0,5.0,7.0,2.0,6
31,5.0,5.0,6.0,7.0,7.0,6.0,13.0,52.0,17.0,11.0,8.0,8.0,2.0,6
32,8.0,3.0,7.0,8.0,6.0,8.0,7.0,52.0,20.0,11.0,3.0,8.0,2.0,6
33,6.0,6.0,10.0,10.0,10.0,4.0,13.0,51.0,18.0,6.0,6.0,4.0,2.0,6
34,6.0,10.0,11.0,10.0,7.0,4.0,5.0,53.0,19.0,10.0,9.0,5.0,2.0,6
